Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Year,MVP_Score
2.0,Luka DonÄiÄ,24.0,DAL,PG,70.0,70.0,0.9920634920634921,11.5,23.6,0.487,4.1,10.6,0.382,7.4,13.0,0.573,0.573,6.8,8.7,0.786,0.8,8.4,0.6715328467153284,0.8990825688073395,0.6666666666666666,0.1388888888888889,4.0,2.1,0.9769452449567723,"MVP-3,CPOY-6,AS,NBA1",2024,0.8495469575870799
1.0,Joel Embiid,29.0,PHI,C,39.0,39.0,0.888888888888889,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,0.8029197080291971,0.5137614678899082,0.5714285714285714,0.4722222222222222,3.8,2.9,1.0,AS,2024,0.8060339224196119
12.0,Nikola JokiÄ,28.0,DEN,C,79.0,79.0,0.9153439153439155,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,0.905109489051095,0.8256880733944953,0.6666666666666666,0.25,3.0,2.5,0.7608069164265129,"MVP-1,CPOY-4,AS,NBA1",2024,0.7881375048515677
3.0,Giannis Antetokounmpo,29.0,MIL,PF,73.0,73.0,0.9312169312169314,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,0.8394160583941607,0.5963302752293578,0.5714285714285714,0.3055555555555556,3.4,2.9,0.8760806916426512,"MVP-4,DPOY-9,CPOY-12,AS,NBA1",2024,0.780654213282477
4.0,Shai Gilgeous-Alexander,25.0,OKC,PG,75.0,75.0,0.8994708994708995,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.874,0.9,4.7,0.40145985401459855,0.5688073394495413,0.9523809523809523,0.25,2.2,2.5,0.8674351585014409,"MVP-2,DPOY-7,CPOY-3,AS,NBA1",2024,0.7367746596274004
19.0,Anthony Davis,30.0,LAL,C,76.0,76.0,0.9391534391534392,9.4,16.9,0.556,0.4,1.4,0.271,9.0,15.5,0.582,0.567,5.5,6.8,0.816,3.1,9.5,0.9197080291970803,0.3211009174311926,0.5714285714285714,0.6388888888888888,2.1,2.3,0.7118155619596541,"DPOY-4,AS,NBA2",2024,0.7121747780981093
15.0,LeBron James,39.0,LAL,PF,71.0,71.0,0.9338624338624338,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.75,0.9,6.4,0.5328467153284672,0.7614678899082569,0.6190476190476191,0.1388888888888889,3.5,1.1,0.7406340057636887,"CPOY-10,AS,NBA3",2024,0.7089907859244927
58.0,Domantas Sabonis,27.0,SAC,C,82.0,82.0,0.9444444444444446,7.7,13.0,0.594,0.4,1.1,0.379,7.3,12.0,0.613,0.609,3.6,5.1,0.704,3.6,10.1,1.0,0.7522935779816513,0.42857142857142855,0.16666666666666666,3.3,3.0,0.5590778097982708,"MVP-8,DPOY-10,NBA3",2024,0.6986006352060075
16.0,Trae Young,25.0,ATL,PG,54.0,54.0,0.9523809523809524,8.0,18.7,0.43,3.2,8.7,0.373,4.8,10.0,0.479,0.516,6.4,7.5,0.855,0.4,2.3,0.20437956204379562,0.9908256880733946,0.6190476190476191,0.05555555555555556,4.4,2.0,0.7406340057636887,AS,2024,0.6936614196935996
10.0,Donovan Mitchell,27.0,CLE,SG,55.0,55.0,0.9338624338624338,9.1,19.8,0.462,3.3,9.0,0.368,5.8,10.8,0.539,0.545,5.0,5.8,0.865,0.8,4.3,0.3722627737226277,0.5596330275229358,0.8571428571428571,0.1388888888888889,2.8,2.1,0.7665706051873199,AS,2024,0.6875152989336134
9.0,De'Aaron Fox,26.0,SAC,PG,74.0,74.0,0.9497354497354498,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,0.3357664233576642,0.5137614678899082,0.9523809523809523,0.11111111111111112,2.6,2.6,0.7665706051873199,CPOY-12,2024,0.6864696362434385
8.0,Jayson Tatum,25.0,BOS,PF,74.0,74.0,0.9444444444444446,9.1,19.3,0.471,3.1,8.2,0.376,6.0,11.0,0.542,0.552,5.6,6.7,0.833,0.9,7.2,0.5912408759124088,0.44954128440366975,0.47619047619047616,0.16666666666666666,2.5,2.0,0.7752161383285302,"MVP-6,CPOY-9,AS,NBA1",2024,0.6722842423036672
7.0,Kevin Durant,35.0,PHO,PF,75.0,75.0,0.9841269841269843,10.0,19.1,0.523,2.2,5.4,0.413,7.8,13.7,0.567,0.581,4.8,5.6,0.856,0.5,6.1,0.48175182481751827,0.4587155963302752,0.42857142857142855,0.3333333333333333,3.3,1.8,0.7809798270893371,"MVP-9,AS,NBA2",2024,0.6707622590026434
23.0,LaMelo Ball,22.0,CHO,PG,22.0,22.0,0.8544973544973545,8.3,19.2,0.433,3.2,9.0,0.355,5.1,10.3,0.5,0.515,4.1,4.7,0.865,1.3,3.8,0.3722627737226277,0.7339449541284403,0.8571428571428571,0.05555555555555556,3.8,3.6,0.6887608069164264,,2024,0.6663889759899438
18.0,Ja Morant,24.0,MEM,PG,9.0,9.0,0.9338624338624338,8.9,18.9,0.471,1.6,5.7,0.275,7.3,13.2,0.555,0.512,5.8,7.1,0.813,0.7,4.9,0.40875912408759124,0.7431192660550459,0.38095238095238093,0.16666666666666666,3.0,2.1,0.723342939481268,,2024,0.6591528455408975
6.0,Devin Booker,27.0,PHO,PG,68.0,68.0,0.9523809523809524,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13.0,0.552,0.55,6.0,6.7,0.886,0.8,3.7,0.3284671532846716,0.6330275229357798,0.42857142857142855,0.11111111111111112,2.6,3.0,0.7809798270893371,"AS,NBA3",2024,0.6564560298032245
5.0,Jalen Brunson,27.0,NYK,PG,77.0,77.0,0.9365079365079365,10.3,21.4,0.479,2.7,6.8,0.401,7.5,14.6,0.516,0.543,5.5,6.5,0.847,0.6,3.1,0.26277372262773724,0.6146788990825688,0.42857142857142855,0.05555555555555556,2.4,1.9,0.8270893371757925,"MVP-5,CPOY-5,AS,NBA2",2024,0.6540356692045812
39.0,Victor Wembanyama,20.0,SAS,C,71.0,71.0,0.7857142857142858,7.8,16.7,0.465,1.8,5.5,0.325,6.0,11.2,0.534,0.519,4.1,5.2,0.796,2.3,8.4,0.7737226277372263,0.35779816513761464,0.5714285714285714,1.0,3.7,2.2,0.61671469740634,"ROY-1,DPOY-2",2024,0.6498639773091595
13.0,Anthony Edwards,22.0,MIN,SG,79.0,78.0,0.9285714285714287,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13.0,0.515,0.522,5.4,6.4,0.836,0.7,4.8,0.3941605839416059,0.4678899082568807,0.6190476190476191,0.1388888888888889,3.1,1.8,0.7463976945244956,"MVP-7,CPOY-8,AS,NBA2",2024,0.6451102589768385
51.0,Scottie Barnes,22.0,TOR,SG,60.0,60.0,0.9232804232804233,7.5,15.7,0.475,1.7,4.9,0.341,5.8,10.8,0.536,0.528,3.3,4.2,0.781,2.4,5.9,0.5985401459854014,0.5596330275229358,0.6190476190476191,0.41666666666666663,2.8,2.0,0.5734870317002881,AS,2024,0.6418406170155314
14.0,Tyrese Maxey,23.0,PHI,PG,70.0,70.0,0.9920634920634921,9.1,20.3,0.45,3.0,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,0.27007299270072993,0.5688073394495413,0.47619047619047616,0.1388888888888889,1.7,2.2,0.7463976945244956,"MIP-1,AS",2024,0.6400474333823045
17.0,Kyrie Irving,31.0,DAL,SG,58.0,58.0,0.925925925925926,9.7,19.5,0.497,3.0,7.3,0.411,6.7,12.2,0.548,0.573,3.3,3.6,0.905,0.8,4.2,0.36496350364963503,0.47706422018348627,0.6190476190476191,0.1388888888888889,1.8,1.9,0.7377521613832853,CPOY-7,2024,0.6385518065935096
34.0,Dejounte Murray,27.0,ATL,SG,78.0,78.0,0.9444444444444446,8.6,18.8,0.459,2.6,7.1,0.363,6.0,11.7,0.518,0.528,2.7,3.4,0.794,0.8,4.5,0.38686131386861317,0.5871559633027523,0.6666666666666666,0.08333333333333333,2.6,1.8,0.648414985590778,,2024,0.6327700587546994
48.0,Tyrese Haliburton,23.0,IND,PG,69.0,68.0,0.851851851851852,7.2,15.2,0.477,2.8,7.8,0.364,4.4,7.4,0.595,0.57,2.8,3.3,0.855,0.5,3.4,0.2846715328467153,1.0,0.5714285714285714,0.19444444444444442,2.3,1.1,0.579250720461095,"AS,NBA3",2024,0.6326739318238404
22.0,Julius Randle,29.0,NYK,PF,46.0,46.0,0.9365079365079365,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7.0,0.6715328467153284,0.4587155963302752,0.23809523809523808,0.08333333333333333,3.5,2.7,0.6916426512968299,AS,2024,0.6268899721885087
20.0,Damian Lillard,33.0,MIL,PG,73.0,73.0,0.9338624338624338,7.4,17.5,0.424,3.0,8.5,0.354,4.4,9.0,0.49,0.51,6.5,7.0,0.92,0.5,3.9,0.3211678832116789,0.6422018348623852,0.47619047619047616,0.05555555555555556,2.6,1.8,0.7002881844380403,"CPOY-11,AS",2024,0.6267756344337359
25.0,Kawhi Leonard,32.0,LAC,SF,68.0,68.0,0.9074074074074074,9.0,17.1,0.525,2.1,4.9,0.417,6.9,12.1,0.569,0.585,3.7,4.2,0.885,1.2,4.9,0.44525547445255476,0.3302752293577982,0.7619047619047619,0.25,1.8,1.4,0.6829971181556195,"AS,NBA2",2024,0.6255505545979774
21.0,DeMar DeRozan,34.0,CHI,SF,79.0,79.0,1.0,8.2,17.2,0.48,0.9,2.8,0.333,7.3,14.3,0.509,0.507,6.6,7.7,0.853,0.5,3.8,0.31386861313868614,0.4862385321100917,0.5238095238095238,0.16666666666666666,1.7,2.0,0.6916426512968299,CPOY-2,2024,0.6228052854554929
41.0,Alperen ÅengÃ¼n,21.0,HOU,C,63.0,63.0,0.8597883597883599,8.4,15.6,0.537,0.5,1.8,0.297,7.8,13.8,0.567,0.553,3.9,5.6,0.693,2.9,6.4,0.6788321167883212,0.4587155963302752,0.5714285714285714,0.19444444444444442,2.6,3.3,0.6080691642651297,,2024,0.6222791157833362
30.0,Paolo Banchero,21.0,ORL,PF,80.0,80.0,0.925925925925926,8.0,17.6,0.455,1.5,4.4,0.339,6.5,13.2,0.493,0.497,5.1,7.0,0.725,1.0,5.9,0.5036496350364964,0.4954128440366973,0.42857142857142855,0.16666666666666666,3.1,1.9,0.6512968299711815,AS,2024,0.6141889237265539
52.0,Terry Rozier,29.0,CHO,SG,30.0,30.0,0.9391534391534392,8.4,18.3,0.459,2.8,7.7,0.358,5.6,10.6,0.533,0.535,3.6,4.3,0.845,0.6,3.3,0.2846715328467153,0.6055045871559632,0.5238095238095238,0.11111111111111112,2.2,1.7,0.6685878962536023,,2024,0.6132993774563584
59.0,Bam Adebayo,26.0,MIA,C,71.0,71.0,0.8994708994708995,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,0.759124087591241,0.35779816513761464,0.5238095238095238,0.25,2.3,2.2,0.5561959654178674,"DPOY-3,AS",2024,0.6069820580807143
