Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Conference,Western Conference
Boston Celtics*,56,26,.683,—,111.5,105.7,5.22,1991,Eastern,
Philadelphia 76ers*,44,38,.537,12.0,105.4,105.6,-0.39,1991,Eastern,
New York Knicks*,39,43,.476,17.0,103.1,103.3,-0.43,1991,Eastern,
Washington Bullets,30,52,.366,26.0,101.4,106.4,-4.84,1991,Eastern,
New Jersey Nets,26,56,.317,30.0,102.9,107.5,-4.53,1991,Eastern,
Miami Heat,24,58,.293,32.0,101.8,107.8,-5.91,1991,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,Eastern,
Chicago Bulls*,61,21,.744,—,110.0,101.0,8.57,1991,Eastern,
Detroit Pistons*,50,32,.610,11.0,100.1,96.8,3.08,1991,Eastern,
Milwaukee Bucks*,48,34,.585,13.0,106.4,104.0,2.33,1991,Eastern,
Atlanta Hawks*,43,39,.524,18.0,109.8,109.0,0.72,1991,Eastern,
Indiana Pacers*,41,41,.500,20.0,111.7,112.1,-0.37,1991,Eastern,
Cleveland Cavaliers,33,49,.402,28.0,101.7,104.2,-2.33,1991,Eastern,
Charlotte Hornets,26,56,.317,35.0,102.8,108.0,-4.95,1991,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1991,Western,Midwest Division
,55,27,.671,—,107.1,102.6,4.30,1991,Western,San Antonio Spurs*
,54,28,.659,1.0,104.0,100.7,3.18,1991,Western,Utah Jazz*
,52,30,.634,3.0,106.7,103.2,3.27,1991,Western,Houston Rockets*
,31,51,.378,24.0,105.9,109.9,-3.79,1991,Western,Orlando Magic
,29,53,.354,26.0,99.6,103.5,-3.75,1991,Western,Minnesota Timberwolves
,28,54,.341,27.0,99.9,104.5,-4.27,1991,Western,Dallas Mavericks
,20,62,.244,35.0,119.9,130.8,-10.31,1991,Western,Denver Nuggets
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1991,Western,Pacific Division
,63,19,.768,—,114.7,106.0,8.47,1991,Western,Portland Trail Blazers*
,58,24,.707,5.0,106.3,99.6,6.73,1991,Western,Los Angeles Lakers*
,55,27,.671,8.0,114.0,107.5,6.49,1991,Western,Phoenix Suns*
,44,38,.537,19.0,116.6,115.0,1.72,1991,Western,Golden State Warriors*
,41,41,.500,22.0,106.6,105.4,1.31,1991,Western,Seattle SuperSonics*
,31,51,.378,32.0,103.5,107.0,-3.16,1991,Western,Los Angeles Clippers
,25,57,.305,38.0,96.7,103.5,-6.27,1991,Western,Sacramento Kings
Boston Celtics*,51,31,.622,—,106.6,103.0,3.41,1992,Eastern,
New York Knicks*,51,31,.622,—,101.6,97.7,3.67,1992,Eastern,
New Jersey Nets*,40,42,.488,11.0,105.4,107.1,-1.54,1992,Eastern,
Miami Heat*,38,44,.463,13.0,105.0,109.2,-3.94,1992,Eastern,
Philadelphia 76ers,35,47,.427,16.0,101.9,103.2,-1.34,1992,Eastern,
Washington Bullets,25,57,.305,26.0,102.4,106.8,-4.35,1992,Eastern,
Orlando Magic,21,61,.256,30.0,101.6,108.5,-6.52,1992,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1992,Eastern,
Chicago Bulls*,67,15,.817,—,109.9,99.5,10.07,1992,Eastern,
Cleveland Cavaliers*,57,25,.695,10.0,108.9,103.4,5.34,1992,Eastern,
Detroit Pistons*,48,34,.585,19.0,98.9,96.9,2.06,1992,Eastern,
Indiana Pacers*,40,42,.488,27.0,112.2,110.3,1.85,1992,Eastern,
Atlanta Hawks,38,44,.463,29.0,106.2,107.7,-1.15,1992,Eastern,
Milwaukee Bucks,31,51,.378,36.0,105.0,106.7,-1.46,1992,Eastern,
Charlotte Hornets,31,51,.378,36.0,109.5,113.4,-3.57,1992,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1992,Western,Midwest Division
,55,27,.671,—,108.3,101.9,5.70,1992,Western,Utah Jazz*
,47,35,.573,8.0,104.0,100.6,2.81,1992,Western,San Antonio Spurs*
,42,40,.512,13.0,102.0,103.7,-1.94,1992,Western,Houston Rockets
,24,58,.293,31.0,99.7,107.6,-7.59,1992,Western,Denver Nuggets
,22,60,.268,33.0,97.6,105.3,-7.47,1992,Western,Dallas Mavericks
,15,67,.183,40.0,100.5,107.5,-6.85,1992,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1992,Western,Pacific Division
,57,25,.695,—,111.4,104.1,6.94,1992,Western,Portland Trail Blazers*
,55,27,.671,2.0,118.7,114.8,3.77,1992,Western,Golden State Warriors*
,53,29,.646,4.0,112.1,106.2,5.68,1992,Western,Phoenix Suns*
,47,35,.573,10.0,106.5,104.7,1.86,1992,Western,Seattle SuperSonics*
,45,37,.549,12.0,102.9,101.9,1.10,1992,Western,Los Angeles Clippers*
,43,39,.524,14.0,100.4,101.5,-0.95,1992,Western,Los Angeles Lakers*
,29,53,.354,28.0,104.3,110.3,-5.63,1992,Western,Sacramento Kings
New York Knicks*,60,22,.732,—,101.6,95.4,5.87,1993,Eastern,
Boston Celtics*,48,34,.585,12.0,103.7,102.8,0.93,1993,Eastern,
New Jersey Nets*,43,39,.524,17.0,102.8,101.6,1.20,1993,Eastern,
Orlando Magic,41,41,.500,19.0,105.5,104.2,1.35,1993,Eastern,
Miami Heat,36,46,.439,24.0,103.6,104.7,-0.93,1993,Eastern,
Philadelphia 76ers,26,56,.317,34.0,104.3,110.1,-5.25,1993,Eastern,
Washington Bullets,22,60,.268,38.0,101.9,108.9,-6.49,1993,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1993,Eastern,
Chicago Bulls*,57,25,.695,—,105.2,98.9,6.19,1993,Eastern,
Cleveland Cavaliers*,54,28,.659,3.0,107.7,101.3,6.30,1993,Eastern,
Charlotte Hornets*,44,38,.537,13.0,110.1,110.4,-0.02,1993,Eastern,
Atlanta Hawks*,43,39,.524,14.0,107.5,108.4,-0.67,1993,Eastern,
Indiana Pacers*,41,41,.500,16.0,107.8,106.1,1.77,1993,Eastern,
Detroit Pistons,40,42,.488,17.0,100.6,102.0,-1.10,1993,Eastern,
Milwaukee Bucks,28,54,.341,29.0,102.3,106.1,-3.26,1993,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1993,Western,Midwest Division
,55,27,.671,—,104.0,99.8,3.57,1993,Western,Houston Rockets*
,49,33,.598,6.0,105.5,102.8,2.21,1993,Western,San Antonio Spurs*
,47,35,.573,8.0,106.2,104.0,1.74,1993,Western,Utah Jazz*
,36,46,.439,19.0,105.2,106.9,-2.14,1993,Western,Denver Nuggets
,19,63,.232,36.0,98.1,105.9,-7.62,1993,Western,Minnesota Timberwolves
,11,71,.134,44.0,99.3,114.5,-14.68,1993,Western,Dallas Mavericks
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1993,Western,Pacific Division
,62,20,.756,—,113.4,106.7,6.27,1993,Western,Phoenix Suns*
,55,27,.671,7.0,108.3,101.3,6.66,1993,Western,Seattle SuperSonics*
